,phrase,label,sentiment,subjectivity,language,count
T20 World Cup,T20 World Cup,EVENT,,,en,2.9000000000000004
Christmas,Christmas,DATE,,,en,2.9
every year,every year,DATE,,,en,2.8000000000000003
1,1,CARDINAL,,,en,2.8
30 degrees,30 degrees,QUANTITY,,,en,2.8
the next few hours,the next few hours,TIME,,,en,2.8
June 2,June 2,DATE,,,en,2.8
One,One,CARDINAL,,,en,2.8
the hottest day,the hottest day,DATE,,,en,2.8
80 km/hour,80 km/hour,QUANTITY,,,en,2.8
February 18,February 18,DATE,,,en,2.8
May 6,May 6,DATE,,,en,2.8
June 9,June 9,DATE,,,en,2.8
June 3,June 3,DATE,,,en,2.8
the second weekend,the second weekend,DATE,,,en,2.8
149 years ago,149 years ago,DATE,,,en,2.8
5.2,5.2,CARDINAL,,,en,2.8
7.5,7.5,CARDINAL,,,en,2.8
June 7,June 7,DATE,,,en,2.8
7.4,7.4,CARDINAL,,,en,2.8
this day,this day,DATE,,,en,2.8
"Monday, April 20","Monday, April 20",DATE,,,en,2.8
the next 7 days,the next 7 days,DATE,,,en,2.7
the month of January,the month of January,DATE,,,en,2.7
the next 4 days,the next 4 days,DATE,,,en,2.7
months,months,DATE,,,en,2.7
0.6 degrees Celsius,0.6 degrees Celsius,QUANTITY,,,en,2.7
May 29,May 29,DATE,,,en,2.7
April 12,April 12,DATE,,,en,2.7
June 8,June 8,DATE,,,en,2.6
Dibrugarh Airport,Dibrugarh Airport,FAC,,,en,2.6
Punjab,Punjab,NORP,-0.008211678832116789,0.05930656934306569,en,2.6
May 31,May 31,DATE,,,en,2.6
next 3 days,next 3 days,DATE,,,en,2.6
June 21,June 21,DATE,,,en,2.6
June 6,June 6,DATE,,,en,2.6
44,44,CARDINAL,,,en,2.6
54,54,DATE,,,en,2.6
next week,next week,DATE,,,en,2.6
44 degrees Celsius,44 degrees Celsius,QUANTITY,,,en,2.6
23,23,CARDINAL,,,en,2.6
the first week of April,the first week of April,DATE,,,en,2.5999999999999996
T20 World Cup 2026,T20 World Cup 2026,EVENT,,,en,2.5
44 degrees,44 degrees,QUANTITY,,,en,2.5
the World Cup,the World Cup,EVENT,,,en,2.4999999999999996
more than 200,more than 200,CARDINAL,,,en,2.4999999999999996
96,96,CARDINAL,,,en,2.4
Dhurandhar 2',Dhurandhar 2',WORK_OF_ART,,,en,2.3
Indians,Indians,NORP,,,en,2.2
January 18,January 18,DATE,,,en,2.2
weekly,weekly,DATE,,,en,2.2
Republic Day,Republic Day,DATE,,,en,2.2
afternoon,afternoon,TIME,,,en,2.2
two days,two days,DATE,,,en,2.1999999999999997
27,27,CARDINAL,,,en,2.1999999999999997
January 16,January 16,DATE,,,en,2.1999999999999997
61,61,MONEY,,,en,2.1999999999999997
four years,four years,DATE,,,en,2.1999999999999997
A few days ago,A few days ago,DATE,,,en,2.1999999999999997
100,100,CARDINAL,,,en,2.1999999999999997
early March,early March,DATE,,,en,2.1999999999999997
rainy season,rainy season,DATE,,,en,2.1
year,year,DATE,,,en,2.1
the T20 World Cup 2026,the T20 World Cup 2026,EVENT,,,en,2.1
Winter,Winter,DATE,,,en,2.1
this morning,this morning,TIME,,,en,2.1
the last few years,the last few years,DATE,,,en,2.1
the next one week,the next one week,DATE,,,en,2.1
the first week,the first week,DATE,,,en,2.1
30,30,CARDINAL,,,en,2.0
Noida International Airport,Noida International Airport,FAC,,,en,1.9000000000000001
This year,This year,DATE,,,en,1.9000000000000001
the last three years,the last three years,DATE,,,en,1.9000000000000001
more than 21,more than 21,CARDINAL,,,en,1.9000000000000001
6 years,6 years,DATE,,,en,1.9
104,104,CARDINAL,,,en,1.9
four days,four days,DATE,,,en,1.9
more than 12,more than 12,CARDINAL,,,en,1.9
the next 24 to 48 hours,the next 24 to 48 hours,DATE,,,en,1.9
117,117,CARDINAL,,,en,1.9
"Tuesday, April 7","Tuesday, April 7",DATE,,,en,1.9
2 June,2 June,DATE,,,en,1.9
next 48 hours,next 48 hours,TIME,,,en,1.9
day 12,day 12,DATE,,,en,1.9
June 17,June 17,DATE,,,en,1.9
Rs 350 crore,Rs 350 crore,MONEY,,,en,1.9
the second week of February,the second week of February,DATE,,,en,1.9
up to,up to,CARDINAL,,,en,1.9
2024,2024,DATE,,,en,1.9
Coldest day,Coldest day,DATE,,,en,1.9
10 days,10 days,DATE,,,en,1.9
1500,1500,CARDINAL,,,en,1.9
80 thousand,80 thousand,CARDINAL,,,en,1.9
more than 15,more than 15,CARDINAL,,,en,1.9
June 5,June 5,DATE,,,en,1.9
10 degrees,10 degrees,QUANTITY,,,en,1.9
1973,1973,DATE,,,en,1.9
3.6,3.6,CARDINAL,,,en,1.9
7 days,7 days,DATE,,,en,1.9
early in the morning,early in the morning,TIME,,,en,1.9
23rd,23rd,DATE,,,en,1.9
4 days,4 days,DATE,,,en,1.9
the month of May,the month of May,DATE,,,en,1.9
more than 40,more than 40,CARDINAL,,,en,1.9
3rd,3rd,ORDINAL,,,en,1.9
Atal Tunnel,Atal Tunnel,FAC,,,en,1.9
a week,a week,DATE,,,en,1.9
7.6,7.6,CARDINAL,,,en,1.9
the next 4 to 5 days,the next 4 to 5 days,DATE,,,en,1.9
IPL 2026,IPL 2026,EVENT,,,en,1.9
May 17,May 17,DATE,,,en,1.9
Israeli,Israeli,NORP,,,en,1.9
24,24,CARDINAL,,,en,1.9
4.2,4.2,CARDINAL,,,en,1.9
206,206,CARDINAL,,,en,1.9
just 4 hours,just 4 hours,TIME,,,en,1.9
last two months,last two months,DATE,,,en,1.9
the next 2-3 days,the next 2-3 days,DATE,,,en,1.9
108,108,CARDINAL,,,en,1.9
Last year,Last year,DATE,,,en,1.9
1580 feet,1580 feet,QUANTITY,,,en,1.9
90,90,CARDINAL,,,en,1.9
6.7,6.7,CARDINAL,,,en,1.9
decades,decades,DATE,,,en,1.9
Hindi,Hindi,NORP,-0.01984126984126984,0.0376984126984127,en,1.9
March 30,March 30,DATE,,,en,1.9
26th,26th,ORDINAL,,,en,1.9
four days ago,four days ago,DATE,,,en,1.9
the beginning of March,the beginning of March,DATE,,,en,1.9
First,First,ORDINAL,,,en,1.9
a year,a year,DATE,,,en,1.9
"May 11, 2026","May 11, 2026",DATE,,,en,1.9
April 7,April 7,DATE,,,en,1.9
the end of February,the end of February,DATE,,,en,1.9
6th,6th,ORDINAL,,,en,1.9
46°C,46°C,QUANTITY,,,en,1.8
May 26,May 26,DATE,,,en,1.8
more than 50,more than 50,CARDINAL,,,en,1.8
the last week of April,the last week of April,DATE,,,en,1.8
the last several days,the last several days,DATE,,,en,1.8
the next several days,the next several days,DATE,,,en,1.8
40 degrees,40 degrees,QUANTITY,,,en,1.8
CM Yogi,CM Yogi,WORK_OF_ART,,,en,1.8
43,43,CARDINAL,,,en,1.8
42 degrees Celsius,42 degrees Celsius,QUANTITY,,,en,1.8
May 20,May 20,DATE,,,en,1.8
the next four days,the next four days,DATE,,,en,1.8
3 degrees,3 degrees,QUANTITY,,,en,1.8
Six,Six,CARDINAL,,,en,1.8
more than 35,more than 35,CARDINAL,,,en,1.8
April 17,April 17,DATE,,,en,1.8
Wednesday morning,Wednesday morning,TIME,,,en,1.8
48 hours,48 hours,TIME,,,en,1.8
Sunday night,Sunday night,TIME,,,en,1.8
late night,late night,TIME,,,en,1.8
72,72,MONEY,,,en,1.8
21 degrees,21 degrees,QUANTITY,,,en,1.8
Tulsi,Tulsi,PRODUCT,,,en,1.8
the rainy season,the rainy season,DATE,,,en,1.8
December 12,December 12,DATE,,,en,1.8
111,111,CARDINAL,,,en,1.8
the hottest years,the hottest years,DATE,,,en,1.8
5.1,5.1,CARDINAL,,,en,1.8
45°,45°,QUANTITY,,,en,1.8
summer season,summer season,DATE,,,en,1.8
14 years,14 years,DATE,,,en,1.8
4 degrees,4 degrees,QUANTITY,,,en,1.8
28th,28th,DATE,,,en,1.8
5.8 degrees,5.8 degrees,QUANTITY,,,en,1.8
Lodhi Road,Lodhi Road,FAC,,,en,1.8
this weekend,this weekend,DATE,,,en,1.7
Gurugram,Gurugram,NORP,,,en,1.6
6 am,6 am,TIME,,,en,1.6
fifth,fifth,ORDINAL,,,en,1.6
May 11,May 11,DATE,,,en,1.6
12th,12th,ORDINAL,,,en,1.6
April 2,April 2,DATE,,,en,1.5
five,five,CARDINAL,,,en,1.4000000000000001
February 15,February 15,DATE,,,en,1.3
6 am in the morning,6 am in the morning,TIME,,,en,1.3
25th April,25th April,DATE,,,en,1.3
crores,crores,CARDINAL,,,en,1.3
January 1,January 1,DATE,,,en,1.3
January 25,January 25,DATE,,,en,1.3
March 11,March 11,DATE,,,en,1.3
Season 2,Season 2,DATE,,,en,1.3
minutes,minutes,TIME,,,en,1.3
March 8,March 8,DATE,,,en,1.3
the night,the night,TIME,,,en,1.3
3.6 degrees,3.6 degrees,QUANTITY,,,en,1.3
the 90s,the 90s,DATE,,,en,1.3
20%,20%,PERCENT,,,en,1.3
Pallekele International Cricket Stadium,Pallekele International Cricket Stadium,FAC,,,en,1.3
144,144,CARDINAL,,,en,1.3
fourth,fourth,ORDINAL,,,en,1.3
Every year,Every year,DATE,,,en,1.3
April 10,April 10,DATE,,,en,1.3
the next 72 hours,the next 72 hours,TIME,,,en,1.3
26 January,26 January,DATE,,,en,1.3
December,December,DATE,,,en,1.3
Pakistani,Pakistani,NORP,,,en,1.3
one-day,one-day,DATE,,,en,1.3
this month,this month,DATE,,,en,1.3
India AI Impact Summit 2026,India AI Impact Summit 2026,EVENT,,,en,1.3
"Wednesday, February 18","Wednesday, February 18",DATE,,,en,1.3
Rs 1 crore,Rs 1 crore,MONEY,,,en,1.3
35,35,CARDINAL,,,en,1.3
the coming hours,the coming hours,TIME,,,en,1.3
May 3,May 3,DATE,,,en,1.3
183,183,CARDINAL,,,en,1.3
40 degrees Celsius,40 degrees Celsius,QUANTITY,,,en,1.3
April 20,April 20,DATE,,,en,1.3
48 degrees,48 degrees,QUANTITY,,,en,1.3
ICC,ICC,NORP,0.0,0.014492753623188406,en,1.3
2022,2022,DATE,,,en,1.3
Winter Car,Winter Car,WORK_OF_ART,,,en,1.3
40°C,40°C,PERCENT,,,en,1.3
Last night,Last night,TIME,,,en,1.3
the month of June,the month of June,DATE,,,en,1.3
the last few months,the last few months,DATE,,,en,1.3
18,18,CARDINAL,,,en,1.3
Asian,Asian,NORP,,,en,1.3
puja,puja,NORP,,,en,1.3
5 years,5 years,DATE,,,en,1.3
this season,this season,DATE,,,en,1.3
Constitution,Constitution,LAW,,,en,1.3
the end of January,the end of January,DATE,,,en,1.3
70 kmph,70 kmph,QUANTITY,,,en,1.3
dozens,dozens,CARDINAL,,,en,1.3
weekend,weekend,DATE,,,en,1.3
125,125,CARDINAL,,,en,1.2000000000000002
Nepal,Nepal,NORP,0.0,0.01754385964912281,en,1.2
every day,every day,DATE,,,en,1.2
"18,262","18,262",CARDINAL,,,en,1.2
Mumbai Indians,Mumbai Indians,NORP,,,en,1.1
54th,54th,ORDINAL,,,en,1.1
Bargi Dam,Bargi Dam,FAC,0.27272727272727276,0.8181818181818181,en,1.1
April 24,April 24,DATE,,,en,1.1
"Thursday, April 30","Thursday, April 30",DATE,,,en,1.0
April 23,April 23,DATE,,,en,1.0
56 year,56 year,DATE,,,en,1.0
60 percent,60 percent,PERCENT,,,en,1.0
2-4 degrees,2-4 degrees,QUANTITY,,,en,1.0
2/3,2/3,CARDINAL,,,en,1.0
33,33,CARDINAL,,,en,1.0
2027,2027,CARDINAL,,,en,1.0
70 km/h,70 km/h,TIME,,,en,1.0
Ghis Ghis Ghis,Ghis Ghis Ghis,WORK_OF_ART,,,en,1.0
the next 2 hours,the next 2 hours,TIME,,,en,1.0
60%,60%,PERCENT,,,en,1.0
Garba,Garba,NORP,,,en,1.0
the evening,the evening,TIME,,,en,1.0
36,36,CARDINAL,,,en,1.0
next two days,next two days,DATE,,,en,1.0
22 April 2026,22 April 2026,DATE,,,en,1.0
the last decade,the last decade,DATE,,,en,1.0
3.4,3.4,CARDINAL,,,en,1.0
June 4 and 5,June 4 and 5,DATE,,,en,1.0
up to 70 km,up to 70 km,QUANTITY,,,en,1.0
the end of the second,the end of the second,DATE,,,en,1.0
around 25.4 degrees Celsius,around 25.4 degrees Celsius,QUANTITY,,,en,1.0
the entire season,the entire season,DATE,,,en,1.0
8 am,8 am,TIME,,,en,1.0
around 33 degrees Celsius,around 33 degrees Celsius,QUANTITY,,,en,1.0
7.5%,7.5%,PERCENT,,,en,1.0
the next 2 days,the next 2 days,DATE,,,en,1.0
June 3rd,June 3rd,DATE,,,en,1.0
90%,90%,PERCENT,,,en,1.0
last 3 years,last 3 years,DATE,,,en,1.0
145,145,CARDINAL,,,en,1.0
2 days,2 days,DATE,,,en,1.0
8 hours,8 hours,TIME,,,en,1.0
Japanese,Japanese,NORP,,,en,1.0
273 mm,273 mm,QUANTITY,,,en,1.0
The waiting hours,The waiting hours,TIME,,,en,1.0
27th April to 2nd,27th April to 2nd,DATE,,,en,1.0
the year 2026,the year 2026,DATE,,,en,1.0
The Tonight Show Starring Jimmy Fallon',The Tonight Show Starring Jimmy Fallon',WORK_OF_ART,,,en,1.0
few days,few days,DATE,,,en,1.0
42.1 degrees Celsius,42.1 degrees Celsius,QUANTITY,,,en,1.0
about 3 degrees,about 3 degrees,QUANTITY,,,en,1.0
42.8 degrees Celsius,42.8 degrees Celsius,QUANTITY,,,en,1.0
the year 2024,the year 2024,DATE,,,en,1.0
two years,two years,DATE,,,en,1.0
the next five days,the next five days,DATE,,,en,1.0
95,95,CARDINAL,,,en,1.0
"Monday, June 1","Monday, June 1",DATE,,,en,1.0
Punjabi,Punjabi,NORP,,,en,1.0
May 4,May 4,DATE,,,en,1.0
the next 4,the next 4,DATE,,,en,1.0
44.5 degrees,44.5 degrees,QUANTITY,,,en,1.0
the summer,the summer,DATE,,,en,1.0
Two-thirds,Two-thirds,CARDINAL,,,en,1.0
Bar Nagar,Bar Nagar,PRODUCT,,,en,1.0
about seven,about seven,CARDINAL,,,en,1.0
the beginning of June,the beginning of June,DATE,,,en,1.0
'Gold Gala 2026','Gold Gala 2026',EVENT,,,en,1.0
the coming four days,the coming four days,DATE,,,en,1.0
South 24 Parganas,South 24 Parganas,FAC,,,en,1.0
humid season,humid season,DATE,,,en,1.0
30-40 km per hour,30-40 km per hour,QUANTITY,,,en,1.0
all day,all day,DATE,,,en,1.0
the beginning of April,the beginning of April,DATE,,,en,1.0
31 May,31 May,DATE,,,en,1.0
Western,Western,NORP,,,en,1.0
Rs 84.5 lakh,Rs 84.5 lakh,MONEY,,,en,1.0
85 year old,85 year old,DATE,,,en,1.0
Last Saturday,Last Saturday,DATE,,,en,1.0
33rd,33rd,ORDINAL,,,en,1.0
June 14,June 14,DATE,,,en,1.0
Thursday 23rd,Thursday 23rd,DATE,,,en,1.0
The Northern Limit,The Northern Limit,LAW,,,en,1.0
September,September,DATE,,,en,1.0
between April 18 and 21,between April 18 and 21,DATE,,,en,1.0
late Friday,late Friday,TIME,,,en,1.0
more than 13,more than 13,CARDINAL,,,en,1.0
15 June,15 June,DATE,,,en,1.0
June 20,June 20,DATE,,,en,1.0
North Indian,North Indian,NORP,,,en,1.0
the next two to three days,the next two to three days,DATE,,,en,1.0
more than 7,more than 7,CARDINAL,,,en,1.0
20-21 April,20-21 April,DATE,,,en,1.0
June 18,June 18,DATE,,,en,1.0
more than 18,more than 18,CARDINAL,,,en,1.0
Dhankuta-Hile,Dhankuta-Hile,FAC,,,en,1.0
Monsoon season,Monsoon season,DATE,,,en,1.0
"June 12, 2026","June 12, 2026",DATE,,,en,1.0
Khandama 082 Chait,Khandama 082 Chait,FAC,,,en,1.0
more than 14 hours,more than 14 hours,TIME,,,en,1.0
more than 66,more than 66,CARDINAL,,,en,1.0
66,66,CARDINAL,,,en,1.0
"June 11, 2026","June 11, 2026",DATE,,,en,1.0
Vitamin A,Vitamin A,PRODUCT,,,en,1.0
under five years of age,under five years of age,DATE,,,en,1.0
the beginning of this month,the beginning of this month,DATE,,,en,1.0
between 40 to,between 40 to,CARDINAL,,,en,1.0
more than 25,more than 25,CARDINAL,,,en,1.0
48 Hours,48 Hours,TIME,,,en,1.0
1991-2025,1991-2025,DATE,,,en,1.0
15th April,15th April,DATE,,,en,1.0
35 lakh,35 lakh,CARDINAL,,,en,1.0
year 2026,year 2026,DATE,,,en,1.0
4.7 KM,4.7 KM,QUANTITY,,,en,1.0
Flood Protection Wall',Flood Protection Wall',WORK_OF_ART,,,en,1.0
4.7 km,4.7 km,QUANTITY,,,en,1.0
Ring Road,Ring Road,FAC,,,en,1.0
Kashmere Gate,Kashmere Gate,FAC,,,en,1.0
Dhurandhar: The Revenge',Dhurandhar: The Revenge',WORK_OF_ART,,,en,1.0
3.30 kg,3.30 kg,QUANTITY,,,en,1.0
the second third week of April,the second third week of April,DATE,,,en,1.0
the current season,the current season,DATE,,,en,1.0
Noorjahan,Noorjahan,PRODUCT,,,en,1.0
West Bengal Election,West Bengal Election,LAW,,,en,1.0
about 11,about 11,CARDINAL,,,en,1.0
Between April 18 and 20,Between April 18 and 20,DATE,,,en,1.0
16 April 2026,16 April 2026,DATE,,,en,1.0
between 18 and 20 April,between 18 and 20 April,DATE,,,en,1.0
"3,800","3,800",CARDINAL,,,en,1.0
the coming week,the coming week,DATE,,,en,1.0
the end of September,the end of September,DATE,,,en,1.0
this afternoon,this afternoon,TIME,,,en,1.0
10 feet,10 feet,QUANTITY,,,en,1.0
June 5 to 7,June 5 to 7,DATE,,,en,1.0
237.30,237.30,CARDINAL,,,en,1.0
753,753,CARDINAL,,,en,1.0
crore,crore,MONEY,,,en,1.0
only two,only two,CARDINAL,,,en,1.0
3 months,3 months,DATE,,,en,1.0
between April and July,between April and July,DATE,,,en,1.0
summer season of 2026,summer season of 2026,DATE,,,en,1.0
22 to 24 April,22 to 24 April,DATE,,,en,1.0
31,31,DATE,,,en,1.0
the next 3-4 days,the next 3-4 days,DATE,,,en,1.0
April 25,April 25,DATE,,,en,1.0
776,776,CARDINAL,,,en,1.0
the next 4-5 days,the next 4-5 days,DATE,,,en,1.0
the coming 72 hours,the coming 72 hours,TIME,,,en,1.0
more than 16,more than 16,CARDINAL,,,en,1.0
22nd April,22nd April,DATE,,,en,1.0
6 months,6 months,DATE,,,en,1.0
Vedic,Vedic,NORP,,,en,1.0
6th June,6th June,DATE,,,en,1.0
Bihar,Bihar,NORP,0.0,0.0,en,1.0
March 2026,March 2026,DATE,,,en,1.0
23rd to 26th April,23rd to 26th April,DATE,,,en,1.0
"Friday, June 5","Friday, June 5",DATE,,,en,1.0
Sub-Himalayan,Sub-Himalayan,NORP,,,en,1.0
Sangam,Sangam,NORP,,,en,1.0
80 km per hour,80 km per hour,QUANTITY,,,en,1.0
21 to 25 April,21 to 25 April,DATE,,,en,1.0
80 cm,80 cm,QUANTITY,,,en,1.0
50-60 kmph,50-60 kmph,QUANTITY,,,en,1.0
44.6 degrees Celsius,44.6 degrees Celsius,MONEY,,,en,1.0
22 thousand,22 thousand,CARDINAL,,,en,1.0
2011,2011,DATE,,,en,1.0
5th week,5th week,DATE,,,en,1.0
June 11-12,June 11-12,DATE,,,en,1.0
46,46,CARDINAL,,,en,1.0
the 31st,the 31st,DATE,,,en,1.0
"June 16, 2026","June 16, 2026",DATE,,,en,1.0
the next four to five days,the next four to five days,DATE,,,en,1.0
22-23 April,22-23 April,DATE,,,en,1.0
43°C,43°C,PERCENT,,,en,1.0
June 16,June 16,DATE,,,en,1.0
5:59 am,5:59 am,TIME,,,en,1.0
June 11 to 15,June 11 to 15,DATE,,,en,1.0
one day,one day,DATE,,,en,1.0
4%,4%,PERCENT,,,en,1.0
8046 km,8046 km,QUANTITY,,,en,1.0
Mega El Nino,Mega El Nino,PRODUCT,,,en,1.0
2026-27,2026-27,DATE,,,en,1.0
this summer,this summer,DATE,,,en,1.0
four hours,four hours,TIME,,,en,1.0
the beginning of the year,the beginning of the year,DATE,,,en,1.0
between 35 to 37 degrees,between 35 to 37 degrees,CARDINAL,,,en,1.0
May 21,May 21,DATE,,,en,1.0
Half,Half,CARDINAL,,,en,1.0
last Wednesday,last Wednesday,DATE,,,en,1.0
28-29,28-29,DATE,,,en,1.0
47,47,CARDINAL,,,en,1.0
the next 2-3 hours,the next 2-3 hours,DATE,,,en,1.0
more than 14,more than 14,CARDINAL,,,en,1.0
48°,48°,PERCENT,,,en,1.0
23 May,23 May,DATE,,,en,1.0
this summer of 2026,this summer of 2026,DATE,,,en,1.0
Those 9 days of the year,Those 9 days of the year,DATE,,,en,1.0
70 km/hr,70 km/hr,TIME,,,en,1.0
At least 56,At least 56,CARDINAL,,,en,1.0
May 18 and 19,May 18 and 19,DATE,,,en,1.0
5 days,5 days,DATE,,,en,1.0
18th,18th,ORDINAL,,,en,1.0
130 KM,130 KM,QUANTITY,,,en,1.0
130 KMPH,130 KMPH,QUANTITY,,,en,1.0
18th June,18th June,DATE,,,en,1.0
23rd June,23rd June,DATE,,,en,1.0
27th June,27th June,DATE,,,en,1.0
around 25 degrees Celsius,around 25 degrees Celsius,QUANTITY,,,en,1.0
its latest afternoon,its latest afternoon,TIME,,,en,1.0
Bhadohi,Bhadohi,FAC,0.18518518518518517,0.18518518518518517,en,1.0
46.8 degrees Celsius,46.8 degrees Celsius,QUANTITY,,,en,1.0
May 1,May 1,DATE,,,en,1.0
the second day,the second day,DATE,,,en,1.0
47.6°,47.6°,MONEY,,,en,1.0
